date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,RH2M,ALLSKY_SFC_SW_DWN,WS2M
2015-03-11,27.79,34.57,22.85,0.01,62.35,21.46,3.04
2015-03-12,28.61,34.95,24.02,0.19,63.99,21.05,3.5
2015-03-13,28.66,34.96,24.37,0.15,62.86,22.51,3.33
2015-03-14,28.69,34.66,24.24,1.36,64.29,20.64,2.95
2015-03-15,28.64,34.64,25.23,0.75,68.36,18.76,2.67
2015-03-16,28.81,35.62,24.48,0.34,64.64,23.16,2.86
2015-03-17,28.28,35.55,23.64,0.1,61.4,25.2,2.19
2015-03-18,28.7,37.2,22.29,0.0,56.06,25.49,1.81
2015-03-19,28.8,37.18,22.72,0.0,57.33,25.04,2.08
2015-03-20,28.65,36.31,23.05,0.02,64.85,24.7,2.49
