label,model,horizon,MAE,R2,perc_delta,kc_delta
perc-15%_kc+15%,random_forest,2,7.956,0.898,-0.15,0.15
perc-15%_kc+15%,random_forest,3,10.06,0.858,-0.15,0.15
perc-15%_kc+15%,xgboost,1,5.175,0.934,-0.15,0.15
perc-15%_kc+15%,xgboost,2,6.842,0.908,-0.15,0.15
perc-15%_kc+15%,xgboost,3,8.877,0.866,-0.15,0.15
perc-15%_kc+30%,persistence,1,8.232,0.869,-0.15,0.3
perc-15%_kc+30%,persistence,2,13.094,0.748,-0.15,0.3
perc-15%_kc+30%,persistence,3,17.389,0.632,-0.15,0.3
perc-15%_kc+30%,random_forest,1,6.0,0.914,-0.15,0.3
perc-15%_kc+30%,random_forest,2,8.064,0.873,-0.15,0.3
perc-15%_kc+30%,random_forest,3,10.243,0.83,-0.15,0.3
perc-15%_kc+30%,xgboost,1,5.206,0.919,-0.15,0.3
perc-15%_kc+30%,xgboost,2,7.299,0.873,-0.15,0.3
perc-15%_kc+30%,xgboost,3,9.449,0.826,-0.15,0.3
perc+0%_kc-30%,persistence,1,6.363,0.878,0.0,-0.3
perc+0%_kc-30%,persistence,2,9.33,0.765,0.0,-0.3
perc+0%_kc-30%,persistence,3,12.112,0.651,0.0,-0.3
perc+0%_kc-30%,random_forest,1,4.231,0.935,0.0,-0.3
perc+0%_kc-30%,random_forest,2,5.992,0.88,0.0,-0.3
perc+0%_kc-30%,random_forest,3,7.455,0.839,0.0,-0.3
perc+0%_kc-30%,xgboost,1,4.091,0.935,0.0,-0.3
perc+0%_kc-30%,xgboost,2,5.551,0.889,0.0,-0.3
perc+0%_kc-30%,xgboost,3,7.025,0.844,0.0,-0.3
perc+0%_kc-15%,persistence,1,6.734,0.895,0.0,-0.15
perc+0%_kc-15%,persistence,2,10.267,0.793,0.0,-0.15
perc+0%_kc-15%,persistence,3,13.578,0.692,0.0,-0.15
perc+0%_kc-15%,random_forest,1,4.719,0.942,0.0,-0.15
perc+0%_kc-15%,random_forest,2,6.42,0.903,0.0,-0.15
perc+0%_kc-15%,random_forest,3,7.783,0.883,0.0,-0.15
perc+0%_kc-15%,xgboost,1,4.184,0.953,0.0,-0.15
perc+0%_kc-15%,xgboost,2,5.849,0.911,0.0,-0.15
perc+0%_kc-15%,xgboost,3,7.666,0.878,0.0,-0.15
perc+0%_kc+0%,persistence,1,7.247,0.895,0.0,0.0
perc+0%_kc+0%,persistence,2,11.227,0.799,0.0,0.0
perc+0%_kc+0%,persistence,3,14.86,0.702,0.0,0.0
perc+0%_kc+0%,random_forest,1,4.834,0.947,0.0,0.0
perc+0%_kc+0%,random_forest,2,7.272,0.906,0.0,0.0
perc+0%_kc+0%,random_forest,3,8.851,0.879,0.0,0.0
perc+0%_kc+0%,xgboost,1,4.575,0.946,0.0,0.0
perc+0%_kc+0%,xgboost,2,6.636,0.906,0.0,0.0
perc+0%_kc+0%,xgboost,3,8.496,0.881,0.0,0.0
perc+0%_kc+15%,persistence,1,7.82,0.877,0.0,0.15
perc+0%_kc+15%,persistence,2,12.265,0.769,0.0,0.15
perc+0%_kc+15%,persistence,3,16.347,0.659,0.0,0.15
perc+0%_kc+15%,random_forest,1,5.775,0.916,0.0,0.15
