model,horizon,season,MAE,RMSE,R2,n
persistence,3,Kuruvai-2015,18.421727272727274,31.128214576606748,0.6013932372076163,110
random_forest,3,Kuruvai-2015,9.250073228459934,19.14690066899017,0.8491889345663862,110
adaboost,3,Kuruvai-2015,15.006098026364556,21.011008184188032,0.8183940708376019,110
xgboost_q50,3,Kuruvai-2015,10.76406020121141,21.01872195100419,0.8182607004702703,110
persistence,3,Kuruvai-2016,16.601090909090914,24.449372886547714,0.6869876294456265,110
random_forest,3,Kuruvai-2016,9.016327408720388,13.586167110698199,0.9033459720373366,110
adaboost,3,Kuruvai-2016,13.60366109372799,16.944387223972097,0.8496588774811378,110
xgboost_q50,3,Kuruvai-2016,9.766960459405723,18.017768961122947,0.8300081576554788,110
persistence,3,Kuruvai-2017,15.11281818181818,31.236077087531044,0.6738982604406893,110
random_forest,3,Kuruvai-2017,8.560052191968765,13.564387003098856,0.9385049034468186,110
adaboost,3,Kuruvai-2017,13.330797030328569,17.711574311495063,0.8951533702434442,110
xgboost_q50,3,Kuruvai-2017,8.550884923306377,16.10881517891377,0.9132704004576896,110
persistence,3,Kuruvai-2018,21.789272727272728,30.59424060475792,0.4210906316425105,110
random_forest,3,Kuruvai-2018,11.938027079480381,18.58074715200289,0.7864706544472173,110
adaboost,3,Kuruvai-2018,16.63870432994841,21.58821516107971,0.7117530651703547,110
xgboost_q50,3,Kuruvai-2018,10.939984948071567,19.043897506559304,0.7756929658834444,110
persistence,3,Kuruvai-2019,17.482,27.45503749107554,0.7299468762497008,110
random_forest,3,Kuruvai-2019,8.946079989516502,14.675621049252571,0.9228389549559357,110
adaboost,3,Kuruvai-2019,12.29343538803538,18.370389453017463,0.8790956713291059,110
xgboost_q50,3,Kuruvai-2019,9.92434176957607,17.48959015209271,0.8904116500603396,110
persistence,3,Kuruvai-2020,14.222181818181818,21.658520893004845,0.6064292901995105,110
random_forest,3,Kuruvai-2020,10.971732540430489,18.43223025790804,0.7149500590847848,110
adaboost,3,Kuruvai-2020,14.17079851825877,21.147307703759544,0.6247891829286463,110
xgboost_q50,3,Kuruvai-2020,10.633629769476977,19.64403348166219,0.6762375240770259,110
persistence,3,Kuruvai-2021,13.332454545454548,21.36400483821497,0.457760166372312,110
