horizon,coverage_90,mean_interval_mm,cqr_coverage,cqr_mean_interval_mm
1,0.9658048373644704,68.57002,0.9049207673060884,65.13345424568982
2,0.9440941572089113,71.07829,0.9045817570407735,68.05446445324458
3,0.9220338983050848,72.90942,0.9012711864406779,72.12279471229446
