gate_mm,deferral_fraction,false_actuation_rate,n_actuations
5.0,0.8199152542372882,0.3793103448275862,58
7.5,0.8199152542372882,0.3793103448275862,58
10.0,0.8199152542372882,0.3793103448275862,58
12.5,0.8199152542372882,0.3793103448275862,58
15.0,0.8199152542372882,0.3793103448275862,58
17.5,0.8199152542372882,0.3793103448275862,58
20.0,0.8199152542372882,0.3793103448275862,58
22.5,0.8199152542372882,0.3793103448275862,58
25.0,0.8199152542372882,0.3793103448275862,58
27.5,0.8199152542372882,0.3793103448275862,58
30.0,0.8199152542372882,0.3793103448275862,58
32.5,0.8199152542372882,0.3793103448275862,58
35.0,0.8199152542372882,0.3793103448275862,58
37.5,0.8199152542372882,0.3793103448275862,58
40.0,0.8199152542372882,0.3793103448275862,58
42.5,0.8199152542372882,0.3793103448275862,58
45.0,0.8199152542372882,0.3793103448275862,58
47.5,0.8199152542372882,0.3793103448275862,58
50.0,0.8199152542372882,0.3793103448275862,58
52.5,0.8199152542372882,0.3793103448275862,58
55.0,0.8199152542372882,0.3793103448275862,58
57.5,0.8194915254237288,0.3793103448275862,58
60.0,0.8152542372881356,0.3793103448275862,58
62.5,0.7851694915254237,0.3333333333333333,66
65.0,0.7059322033898305,0.24444444444444444,90
67.5,0.5944915254237289,0.16058394160583941,137
70.0,0.47584745762711866,0.11940298507462686,201
72.5,0.3389830508474576,0.07766990291262135,309
75.0,0.24067796610169492,0.07741935483870968,310
77.5,0.17457627118644067,0.07717041800643087,311
80.0,0.1309322033898305,0.07667731629392971,313
82.5,0.09915254237288136,0.0761904761904762,315
85.0,0.07966101694915254,0.0778816199376947,321
87.5,0.06186440677966102,0.08074534161490683,322
90.0,0.053813559322033896,0.08074534161490683,322
92.5,0.04957627118644068,0.08307692307692308,325
95.0,0.042796610169491524,0.08282208588957055,326
97.5,0.034322033898305085,0.0851063829787234,329
100.0,0.030508474576271188,0.0851063829787234,329
102.5,0.027966101694915254,0.0851063829787234,329
105.0,0.026694915254237287,0.0851063829787234,329
107.5,0.025847457627118643,0.0851063829787234,329
110.0,0.024152542372881357,0.0851063829787234,329
112.5,0.023305084745762712,0.0851063829787234,329
115.0,0.021610169491525423,0.0851063829787234,329
117.5,0.019491525423728815,0.0851063829787234,329
120.0,0.018220338983050848,0.0851063829787234,329
122.5,0.01694915254237288,0.0851063829787234,329
125.0,0.013559322033898305,0.0851063829787234,329
127.5,0.012711864406779662,0.0851063829787234,329
130.0,0.009745762711864408,0.0851063829787234,329
132.5,0.008050847457627118,0.0851063829787234,329
135.0,0.006355932203389831,0.0851063829787234,329
137.5,0.004661016949152543,0.0851063829787234,329
140.0,0.00423728813559322,0.0851063829787234,329
142.5,0.0038135593220338985,0.0851063829787234,329
145.0,0.002542372881355932,0.0851063829787234,329
147.5,0.002542372881355932,0.0851063829787234,329
150.0,0.002542372881355932,0.0851063829787234,329
152.5,0.001271186440677966,0.0851063829787234,329
155.0,0.001271186440677966,0.0851063829787234,329
157.5,0.001271186440677966,0.0851063829787234,329
160.0,0.000847457627118644,0.0851063829787234,329
162.5,0.000847457627118644,0.0851063829787234,329
165.0,0.000847457627118644,0.0851063829787234,329
167.5,0.000423728813559322,0.0851063829787234,329
170.0,0.0,0.0851063829787234,329
172.5,0.0,0.0851063829787234,329
175.0,0.0,0.0851063829787234,329
177.5,0.0,0.0851063829787234,329
180.0,0.0,0.0851063829787234,329
182.5,0.0,0.0851063829787234,329
185.0,0.0,0.0851063829787234,329
187.5,0.0,0.0851063829787234,329
190.0,0.0,0.0851063829787234,329
192.5,0.0,0.0851063829787234,329
195.0,0.0,0.0851063829787234,329
197.5,0.0,0.0851063829787234,329
